Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uf","C_0603_1608Metric",-0.500000,75.000000,180.000000,top
"C2","0.1uf","C_0603_1608Metric",101.228400,-6.991600,60.000000,top
"C3","0.1uf","C_0603_1608Metric",-51.714400,-115.671600,270.000000,top
"C4","0.1uf","C_0603_1608Metric",-51.000000,-121.500000,180.000000,top
"R1","100k","R_0603_1608Metric",99.000000,-10.750800,60.000000,top
"R2","100k","R_0603_1608Metric",54.762400,-86.614000,0.000000,top
"R3","4.7k","R_0603_1608Metric",103.393750,-3.318005,60.000000,top
"R4","4.7k","R_0603_1608Metric",59.334400,-79.044800,180.000000,top
"R5","220R","R_0603_1608Metric",-46.000000,-121.500000,0.000000,top
"R6","220R","R_0603_1608Metric",-41.000000,-121.500000,180.000000,top
"R7","220R","R_0603_1608Metric",-26.500000,-117.500000,90.000000,top
"R8","10k","R_0603_1608Metric",-16.103600,-112.217200,0.000000,top
